EventCode,group_policy_group,group_policy_option
4707,Policy Change,Audit Authorization Policy Change
4714,Policy Change,Audit Authorization Policy Change
4709,Policy Change,Audit Filtering Platform Policy Change
4710,Policy Change,Audit Filtering Platform Policy Change
4711,Policy Change,Audit Filtering Platform Policy Change
4712,Policy Change,Audit Filtering Platform Policy Change
5040,Policy Change,Audit Filtering Platform Policy Change
5041,Policy Change,Audit Filtering Platform Policy Change
5042,Policy Change,Audit Filtering Platform Policy Change
5043,Policy Change,Audit Filtering Platform Policy Change
5044,Policy Change,Audit Filtering Platform Policy Change
5045,Policy Change,Audit Filtering Platform Policy Change
5046,Policy Change,Audit Filtering Platform Policy Change
5047,Policy Change,Audit Filtering Platform Policy Change
5048,Policy Change,Audit Filtering Platform Policy Change
5440,Policy Change,Audit Filtering Platform Policy Change
5441,Policy Change,Audit Filtering Platform Policy Change
6419,Detailed Tracking,Audit PNP Activity
6420,Detailed Tracking,Audit PNP Activity
6421,Detailed Tracking,Audit PNP Activity
6422,Detailed Tracking,Audit PNP Activity
5442,Policy Change,Audit Filtering Platform Policy Change
5443,Policy Change,Audit Filtering Platform Policy Change
5444,Policy Change,Audit Filtering Platform Policy Change
5446,Policy Change,Audit Filtering Platform Policy Change
5448,Policy Change,Audit Filtering Platform Policy Change
5449,Policy Change,Audit Filtering Platform Policy Change
5450,Policy Change,Audit Filtering Platform Policy Change
5456,Policy Change,Audit Filtering Platform Policy Change
5457,Policy Change,Audit Filtering Platform Policy Change
5458,Policy Change,Audit Filtering Platform Policy Change
5459,Policy Change,Audit Filtering Platform Policy Change
5460,Policy Change,Audit Filtering Platform Policy Change
5461,Policy Change,Audit Filtering Platform Policy Change
5462,Policy Change,Audit Filtering Platform Policy Change
5463,Policy Change,Audit Filtering Platform Policy Change
5464,Policy Change,Audit Filtering Platform Policy Change
5465,Policy Change,Audit Filtering Platform Policy Change
5466,Policy Change,Audit Filtering Platform Policy Change
5467,Policy Change,Audit Filtering Platform Policy Change
5468,Policy Change,Audit Filtering Platform Policy Change
5471,Policy Change,Audit Filtering Platform Policy Change
5472,Policy Change,Audit Filtering Platform Policy Change
5473,Policy Change,Audit Filtering Platform Policy Change
5474,Policy Change,Audit Filtering Platform Policy Change
5477,Policy Change,Audit Filtering Platform Policy Change
4944,Policy Change,Audit MPSSVC Rule-Level Policy Change
4945,Policy Change,Audit MPSSVC Rule-Level Policy Change
4946,Policy Change,Audit MPSSVC Rule-Level Policy Change
4947,Policy Change,Audit MPSSVC Rule-Level Policy Change
4948,Policy Change,Audit MPSSVC Rule-Level Policy Change
4949,Policy Change,Audit MPSSVC Rule-Level Policy Change
4950,Policy Change,Audit MPSSVC Rule-Level Policy Change
4951,Policy Change,Audit MPSSVC Rule-Level Policy Change
4952,Policy Change,Audit MPSSVC Rule-Level Policy Change
4953,Policy Change,Audit MPSSVC Rule-Level Policy Change
4954,Policy Change,Audit MPSSVC Rule-Level Policy Change
